Simulation,Pathway,NPV,NPV_millions,mortality
1027,C2,573373929.268641,573.373929268641,50.4120059381098
1027,C3,496977753.2675,496.9777532675,43.6951248913366
1027,D,838719774.559882,838.719774559882,73.7416615880226
1028,A,884075895.257725,884.075895257725,77.7294484566473
1028,B1,515312536.461126,515.312536461126,45.307150049875
1028,B2,594587227.576463,594.587227576463,52.2771150155749
1028,B3,511687650.518266,511.687650518266,44.9884439449261
1028,C1,477830637.13841,477.83063713841,42.0116780467468
1028,C2,556600198.402339,556.600198402339,48.9372311412947
1028,C3,481533100.091309,481.533100091309,42.3372048536689
1028,D,826594270.986282,826.594270986282,72.6755667989996
1029,A,881109406.606301,881.109406606301,77.4686297554872
1029,B1,529687996.728077,529.687996728077,46.571064838022
1029,B2,610214946.724677,610.214946724677,53.6511305232277
1029,B3,525977744.522678,525.977744522677,46.2448531868416
1029,C1,486656272.567726,486.656272567725,42.787642845561
1029,C2,571172714.077902,571.172714077902,50.2184713743599
1029,C3,495108331.08169,495.10833108169,43.5307621299322
1029,D,838018017.894637,838.018017894637,73.6799619547299
103,A,880657102.187758,880.657102187758,77.4288623857665
103,B1,529982074.268379,529.982074268379,46.5969206329077
103,B2,611572719.71933,611.57271971933,53.7705082220993
