Year,Simulation,Pathway,total_CO2_tons
2045,1205,C2,0
2046,1205,C2,0
2047,1205,C2,0
2048,1205,C2,0
2049,1205,C2,0
2050,1205,C2,0
2025,1205,C3,0
2026,1205,C3,0
2027,1205,C3,0
2028,1205,C3,0
2029,1205,C3,0
2030,1205,C3,0
2031,1205,C3,0
2032,1205,C3,0
2033,1205,C3,0
2034,1205,C3,0
2035,1205,C3,0
2036,1205,C3,0
2037,1205,C3,0
2038,1205,C3,0
2039,1205,C3,0
2040,1205,C3,0
2041,1205,C3,0
2042,1205,C3,0
2043,1205,C3,0
2044,1205,C3,0
2045,1205,C3,0
2046,1205,C3,0
2047,1205,C3,0
2048,1205,C3,0
2049,1205,C3,0
2050,1205,C3,0
2025,1205,D,0
2026,1205,D,0
2027,1205,D,0
2028,1205,D,0
2029,1205,D,0
2030,1205,D,0
2031,1205,D,0
2032,1205,D,0
2033,1205,D,0
2034,1205,D,0
2035,1205,D,0
2036,1205,D,0
2037,1205,D,0
2038,1205,D,0
2039,1205,D,0
2040,1205,D,0
2041,1205,D,0
2042,1205,D,0
2043,1205,D,0
2044,1205,D,0
2045,1205,D,0
2046,1205,D,0
2047,1205,D,0
2048,1205,D,0
2049,1205,D,0
2050,1205,D,0
2025,1206,A,0
2026,1206,A,0
2027,1206,A,0
2028,1206,A,0
2029,1206,A,0
2030,1206,A,0
2031,1206,A,0
2032,1206,A,0
2033,1206,A,0
2034,1206,A,0
2035,1206,A,0
2036,1206,A,0
2037,1206,A,0
2038,1206,A,0
2039,1206,A,0
2040,1206,A,0
2041,1206,A,0
2042,1206,A,0
2043,1206,A,0
2044,1206,A,0
2045,1206,A,0
2046,1206,A,0
2047,1206,A,0
2048,1206,A,0
2049,1206,A,0
2050,1206,A,0
2025,1206,B1,0
2026,1206,B1,0
2027,1206,B1,0
2028,1206,B1,0
2029,1206,B1,0
2030,1206,B1,0
2031,1206,B1,0
2032,1206,B1,0
2033,1206,B1,0
2034,1206,B1,0
2035,1206,B1,0
2036,1206,B1,0
2037,1206,B1,0
2038,1206,B1,0
2039,1206,B1,0
2040,1206,B1,0
2041,1206,B1,0
