"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"C3","CAPEX","Hydropower","Conservative",0
"C3","FOM","Hydropower","Advanced",1663497054.82507
"C3","FOM","Hydropower","Moderate",2985109125.29314
"C3","FOM","Hydropower","Conservative",2985109125.29314
"C3","CAPEX","Biomass","Advanced",0
"C3","CAPEX","Biomass","Moderate",0
"C3","CAPEX","Biomass","Conservative",0
"C3","FOM","Biomass","Advanced",1400891554.98899
"C3","FOM","Biomass","Moderate",1400891554.98899
"C3","FOM","Biomass","Conservative",1400891554.98899
"D","CAPEX","Solar","Advanced",8737954445.52723
"D","CAPEX","Solar","Moderate",10426210296.1827
"D","CAPEX","Solar","Conservative",12949723356.7208
"D","FOM","Solar","Advanced",4315417434.39362
"D","FOM","Solar","Moderate",4832861601.44782
"D","FOM","Solar","Conservative",5557458581.31014
"D","CAPEX","Onshore Wind","Advanced",4903019844.29484
"D","CAPEX","Onshore Wind","Moderate",5228292840.76065
"D","CAPEX","Onshore Wind","Conservative",6011162684.48315
"D","FOM","Onshore Wind","Advanced",2515774250.50349
"D","FOM","Onshore Wind","Moderate",3139856911.84481
"D","FOM","Onshore Wind","Conservative",3396287139.0184
"D","CAPEX","Offshore Wind","Advanced",3888612729.35996
"D","CAPEX","Offshore Wind","Moderate",4830438343.78144
"D","CAPEX","Offshore Wind","Conservative",6250471018.00464
"D","FOM","Offshore Wind","Advanced",2322065639.50341
"D","FOM","Offshore Wind","Moderate",2525225221.46194
"D","FOM","Offshore Wind","Conservative",2867242145.45165
"D","CAPEX","Storage","Advanced",22412820402.6308
"D","CAPEX","Storage","Moderate",28982097137.0744
"D","CAPEX","Storage","Conservative",40271820539.0196
"D","FOM","Storage","Advanced",9674090376.29551
"D","FOM","Storage","Moderate",12805487656.1934
"D","FOM","Storage","Conservative",18354107290.2787
"D","CAPEX","Nuclear","Advanced",0
"D","CAPEX","Nuclear","Moderate",0
"D","CAPEX","Nuclear","Conservative",0
"D","FOM","Nuclear","Advanced",7013608006.99522
"D","FOM","Nuclear","Moderate",9741122231.93781
"D","FOM","Nuclear","Conservative",11355365344.6589
"D","CAPEX","SMR","Advanced",0
"D","CAPEX","SMR","Moderate",0
"D","CAPEX","SMR","Conservative",0
"D","FOM","SMR","Advanced",0
"D","FOM","SMR","Moderate",0
"D","FOM","SMR","Conservative",0
"D","CAPEX","Hydropower","Advanced",0
"D","CAPEX","Hydropower","Moderate",0
"D","CAPEX","Hydropower","Conservative",0
"D","FOM","Hydropower","Advanced",1663497054.82507
"D","FOM","Hydropower","Moderate",2985109125.29314
"D","FOM","Hydropower","Conservative",2985109125.29314
"D","CAPEX","Biomass","Advanced",0
"D","CAPEX","Biomass","Moderate",0
"D","CAPEX","Biomass","Conservative",0
"D","FOM","Biomass","Advanced",1400891554.98899
"D","FOM","Biomass","Moderate",1400891554.98899
"D","FOM","Biomass","Conservative",1400891554.98899
