"Simulation","Pathway","NPV"
"30","A",483916886478.777
"30","B1",4992427383.18933
"30","B2",11287401617.1568
"30","B3",4220613171.37672
"30","C1",5388032058.34226
"30","C2",6377934605.78226
"30","C3",2933244808.48393
"30","D",2222606928.45797
"300","A",499083952483.793
"300","B1",5404603626.007
"300","B2",12047482551.6958
"300","B3",4609612774.47809
"300","C1",5774048528.88251
"300","C2",6936629657.399
"300","C3",3243233285.87208
"300","D",2534575233.7718
"301","A",495582974809.3
"301","B1",5679344165.44699
"301","B2",12740205045.9388
"301","B3",4768285357.25019
"301","C1",5751630716.87105
"301","C2",7201385369.52637
"301","C3",3361087075.37494
"301","D",2503107168.90324
"302","A",478333925523.456
"302","B1",5442933693.92687
"302","B2",12107366009.3559
"302","B3",4625620963.14313
"302","C1",5358712898.42089
"302","C2",6860321105.50814
"302","C3",3297146829.44725
"302","D",2211732172.25858
"303","A",494631093746.973
"303","B1",5313792154.64236
"303","B2",12138733918.2828
"303","B3",4450934654.08801
"303","C1",5566079598.52231
"303","C2",6758206195.18652
"303","C3",3134915659.39678
"303","D",2443263514.8742
"304","A",476097870383.548
"304","B1",5083384829.105
"304","B2",11302889421.7938
"304","B3",4315886897.02281
"304","C1",5326136959.24833
"304","C2",6503405476.2011
"304","C3",3080331940.28718
"304","D",2133962183.06281
"305","A",482955068193.824
"305","B1",5088414627.81293
"305","B2",11359853728.7185
"305","B3",4347192047.32179
"305","C1",5381742656.46285
"305","C2",6475529333.7632
"305","C3",3036490795.27245
"305","D",2228402555.36109
"306","A",500281090514.643
"306","B1",5202512920.46058
"306","B2",11634141675.1151
"306","B3",4434857069.38807
"306","C1",5753296524.69126
"306","C2",6612352002.64494
"306","C3",3149702297.04522
"306","D",2503438497.16035
"307","A",490818529613.484
"307","B1",5547509416.88888
"307","B2",12242945949.0429
"307","B3",4733255298.84264
"307","C1",5619922663.57988
"307","C2",7023247049.1602
"307","C3",3374345768.62038
"307","D",2383380354.89066
"308","A",503262209871.179
"308","B1",6030841222.77103
"308","B2",13479441129.166
"308","B3",4998081408.19809
"308","C1",5853026143.24528
"308","C2",7602285239.62101
"308","C3",3574783319.87018
"308","D",2591633896.80597
"309","A",487915595434.785
"309","B1",5381253843.30428
"309","B2",12018614861.4224
"309","B3",4546765767.33816
"309","C1",5504045676.85678
"309","C2",6768646814.37224
"309","C3",3256753548.18016
"309","D",2323011068.6752
"31","A",493174843217.474
"31","B1",5154862896.91292
"31","B2",11254649114.2875
