"Year","Simulation","Pathway","RP_mean","RP_max","RP_min","Battery_Discharges_GWh","Shortages_TWh","CO2_tons"
2033,831,"C2",0.386910181148219,0.80614138766112,0.045208075335762,582.357665925328,0.11972339,19761235.3172329
2034,831,"C2",0.409129857898268,0.822116072941404,0.0483921378449186,768.355351089457,0.13604908,18393341.5964801
2035,831,"C2",0.431194180775732,0.83610226868054,0.041420586759069,1083.85906408498,0.15652984,16970797.7492823
2036,831,"C2",0.451762288730887,0.830536951954538,0.0490834817424493,1219.73513043406,0.1368133,15929678.2292169
2037,831,"C2",0.470486199302694,0.842684628161691,0.0430967255275533,1492.21119220334,0.17222596,14464660.176597
2038,831,"C2",0.486587395226102,0.851534713088039,0.0618738509329941,1647.13890215317,0.17034695,13559145.4159002
2039,831,"C2",0.506748651315981,0.855497854167322,0.0648966161469423,1856.12520375205,0.19651799,12156324.316887
2040,831,"C2",0.521197259685625,0.863097284092015,0.0465720934065431,1953.31505640631,0.16843353,11334775.919964
2041,831,"C2",0.53842333852941,0.872488333020112,0.0481406211811993,2135.64769338488,0.1503004,9323059.78503552
2042,831,"C2",0.54909600441442,0.874344473097638,0.0577866726457499,2191.22387402507,0.13630377,8818276.8288971
2043,831,"C2",0.562398997919249,0.882051859521576,0.0531849117202861,2295.50820502726,0.14335357,7791408.73286898
2044,831,"C2",0.577377373762138,0.885141358279006,0.0628555675594917,2441.91649947486,0.11086998,6519815.80999019
2045,831,"C2",0.587940204577384,0.887145782223115,0.0632651222047796,2422.97971482413,0.08618491,6470453.74345531
2046,831,"C2",0.603248883385045,0.88933680909785,0.0937848316303413,2437.80415863431,0.10057866,5939489.20801869
2047,831,"C2",0.617590459286813,0.898094510378241,0.0938807639041185,2300.05977826999,0.07014501,5396822.4397891
2048,831,"C2",0.631480840183546,0.898811832705078,0.0837234904278083,2321.07404014155,0.05633541,4831126.23221666
2049,831,"C2",0.64664855787979,0.898024567518928,0.0773727239568428,2203.30749810072,0.06858152,4145137.91536726
