"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"67","C3","NYISO","Lower",2457402314.46038
"67","C3","NYISO","Upper",7384021377.58528
"67","C3","NB","Lower",262637580.268805
"67","C3","NB","Upper",782117280.187277
"68","C2","QC","Lower",2431222546.88791
"68","C2","QC","Upper",7240019360.35125
"68","C2","NYISO","Lower",2739632958.95972
"68","C2","NYISO","Upper",8232070189.18186
"68","C2","NB","Lower",299210508.710216
"68","C2","NB","Upper",891029033.378897
"69","C3","QC","Lower",9193033879.72549
"69","C3","QC","Upper",27376244661.2611
"69","C3","NYISO","Lower",2461811761.2265
"69","C3","NYISO","Upper",7397270917.14693
"69","C3","NB","Lower",261314138.02108
"69","C3","NB","Upper",778176157.023501
"70","D","QC","Lower",21466024831.4883
"70","D","QC","Upper",63924397035.8429
"70","D","NYISO","Lower",5973107857.73815
"70","D","NYISO","Upper",17948040437.9151
"70","D","NB","Lower",585505172.689541
"70","D","NB","Upper",1743595538.50153
"71","A","QC","Lower",4376321678.65475
"71","A","QC","Upper",13032395459.2899
"71","A","NYISO","Lower",4089113905.68758
"71","A","NYISO","Upper",12287000918.5324
"71","A","NB","Lower",664937606.524838
"71","A","NB","Upper",1980140053.74696
"72","B1","QC","Lower",9393996779.0977
"72","B1","QC","Upper",27974698835.6967
"72","B1","NYISO","Lower",2554691202.01913
"72","B1","NYISO","Upper",7676355775.29787
"72","B1","NB","Lower",270479529.273139
"72","B1","NB","Upper",805470083.774486
"73","D","QC","Lower",21467658703.8157
"73","D","QC","Upper",63929262599.1777
"73","D","NYISO","Lower",5968374200.27192
"73","D","NYISO","Upper",17933816707.5478
"73","D","NB","Lower",586278507.679731
"73","D","NB","Upper",1745898478.76842
"74","C2","QC","Lower",2431741841.31585
"74","C2","QC","Upper",7241565784.68695
"74","C2","NYISO","Lower",2740083903.06909
"74","C2","NYISO","Upper",8233425189.51048
"74","C2","NB","Lower",299049554.042843
"74","C2","NB","Upper",890549721.063612
"75","B3","QC","Lower",11995721122.992
"75","B3","QC","Upper",35722461229.6429
"75","B3","NYISO","Lower",2638484819.81623
"75","B3","NYISO","Upper",7928139482.62089
"75","B3","NB","Lower",278341594.537372
"75","B3","NB","Upper",828882792.248357
"76","C1","QC","Lower",1738255659.05172
"76","C1","QC","Upper",5176409967.43964
"76","C1","NYISO","Lower",1546180293.00906
"76","C1","NYISO","Upper",4645974438.12817
"76","C1","NB","Lower",239284816.668932
"76","C1","NB","Upper",712574300.340694
"77","C3","QC","Lower",9190887781.07953
"77","C3","QC","Upper",27369853721.9512
"77","C3","NYISO","Lower",2458398686.33277
"77","C3","NYISO","Upper",7387015283.45184
"77","C3","NB","Lower",261884296.274501
"77","C3","NB","Upper",779874050.455147
"78","C1","QC","Lower",1738140611.88367
"78","C1","QC","Upper",5176067364.61001
"78","C1","NYISO","Lower",1546102262.39803
"78","C1","NYISO","Upper",4645739971.14793
"78","C1","NB","Lower",239147841.924004
"78","C1","NB","Upper",712166398.642664
"79","A","QC","Lower",4376233838.3895
"79","A","QC","Upper",13032133876.8109
"79","A","NYISO","Lower",4088145179.02219
"79","A","NYISO","Upper",12284090081.1965
"79","A","NB","Lower",664937485.814814
"79","A","NB","Upper",1980139694.28053
"80","C3","QC","Lower",9184409303.35839
"80","C3","QC","Upper",27350561245.3383
"80","C3","NYISO","Lower",2456276475.5496
"80","C3","NYISO","Upper",7380638448.16587
"80","C3","NB","Lower",262124443.729212
"80","C3","NB","Upper",780589193.634314
"81","B2","QC","Lower",2362979703.77171
"81","B2","QC","Upper",7036796703.50353
"81","B2","NYISO","Lower",2668435359.03314
"81","B2","NYISO","Upper",8018135093.24862
"81","B2","NB","Lower",292950603.200144
"81","B2","NB","Upper",872387450.30173
"82","B2","QC","Lower",2364351844.88684
"82","B2","QC","Upper",7040882848.6618
"82","B2","NYISO","Lower",2673133773.16072
"82","B2","NYISO","Upper",8032252924.16083
"82","B2","NB","Lower",292576323.446735
"82","B2","NB","Upper",871272870.040728
"83","B2","QC","Lower",2362464748.8088
"83","B2","QC","Upper",7035263201.80662
"83","B2","NYISO","Lower",2669669843.5724
"83","B2","NYISO","Upper",8021844481.88824
"83","B2","NB","Lower",293446387.952713
"83","B2","NB","Upper",873863864.384744
"84","B3","QC","Lower",11992276397.6059
"84","B3","QC","Upper",35712203066.1035
"84","B3","NYISO","Lower",2639142268.0022
"84","B3","NYISO","Upper",7930114987.98739
"84","B3","NB","Lower",278834671.276022
"84","B3","NB","Upper",830351142.045678
"85","B1","QC","Lower",9385657136.77315
"85","B1","QC","Upper",27949863934.4387
"85","B1","NYISO","Lower",2550165206.1839
"85","B1","NYISO","Upper",7662756028.1968
"85","B1","NB","Lower",271364941.589825
"85","B1","NB","Upper",808106782.880006
"86","B3","QC","Lower",12004146624.2713
