"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"D","FOM","Nuclear","Advanced",5612720781.22543
"D","FOM","Nuclear","Moderate",7795445529.47976
"D","FOM","Nuclear","Conservative",9087262217.22212
"D","CAPEX","SMR","Advanced",0
"D","CAPEX","SMR","Moderate",0
"D","CAPEX","SMR","Conservative",0
"D","FOM","SMR","Advanced",0
"D","FOM","SMR","Moderate",0
"D","FOM","SMR","Conservative",0
"D","CAPEX","Hydropower","Advanced",0
"D","CAPEX","Hydropower","Moderate",0
"D","CAPEX","Hydropower","Conservative",0
"D","FOM","Hydropower","Advanced",1413323574.64976
"D","FOM","Hydropower","Moderate",2493819517.41095
"D","FOM","Hydropower","Conservative",2493819517.41095
"D","CAPEX","Biomass","Advanced",0
"D","CAPEX","Biomass","Moderate",0
"D","CAPEX","Biomass","Conservative",0
"D","FOM","Biomass","Advanced",1170332659.5354
"D","FOM","Biomass","Moderate",1170332659.5354
"D","FOM","Biomass","Conservative",1170332659.5354
