Year,Simulation,Pathway,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD,total_air_emission_USD,County
2039,73,D,67936.6901338709,258619.72349338,10963103.3619733,0,3686132.43444677,234619.993073274,15210412.2031206,
2039,87,D,67928.8948214159,258590.048489377,10961845.4140808,0,3685709.47368697,234593.071888998,15208666.9029675,
2040,94,D,74687.6608707964,284319.153092543,12052523.3769421,0,4052428.94003669,257934.533484563,16721893.6644267,
2040,17,D,74576.1637149202,283894.708457896,12034530.8188409,0,4046379.28878323,257549.477016728,16696930.4568137,
2040,21,D,74553.5273263089,283808.536809674,12030877.9316073,0,4045151.07577941,257471.302037512,16691862.3735602,
2040,23,D,74661.7155093009,284220.384927613,12048336.5129769,0,4051021.18763745,257844.930936627,16716084.7319879,
2040,25,D,74827.5128799519,284851.538286265,12075091.6243609,0,4060017.07872809,258417.513702685,16753205.2679578,
2040,26,D,74812.1648935306,284793.111948499,12072614.8837189,0,4059184.32237155,258364.509288417,16749768.9922209,
2040,30,D,74887.6511320036,285080.471107195,12084796.2754404,0,4063280.08081138,258625.2017171,16766669.6802081,
2040,55,D,74870.5793506533,285015.482669229,12082041.3619593,0,4062353.79419327,258566.244160965,16762847.4623334,
2040,57,D,74868.8517086635,285008.905924133,12081762.5683108,0,4062260.05519655,258560.277733238,16762460.6588734,
2040,70,D,74755.8862247779,284578.871694482,12063533.0626676,0,4056130.73489403,258170.150380926,16737168.7058619,
2040,73,D,74676.0249707553,284274.857834041,12050645.664404,0,4051797.59534708,257894.348795234,16719288.4913511,
2040,87,D,74653.6155451233,284189.550182915,12047029.4027198,0,4050581.6969791,257816.957634785,16714271.2230617,
2041,94,D,69726.2216660774,147908.338933037,4035616.186746,0,2110189.13793031,92516.3145800099,6455956.19985543,
2041,17,D,69739.071608833,147935.597167356,4036359.91608833,0,2110578.02763318,92533.3645408123,6457145.97703851,
2041,21,D,69491.4082275988,147410.23556798,4022025.648057,0,2103082.76165639,92204.7521086351,6434214.80561761,
2041,23,D,69899.5042203206,148275.91850571,4045645.43921479,0,2115433.34814304,92746.2347293673,6472000.44481324,
2041,25,D,70041.279778958,148576.663144934,4053851.1289202,0,2119724.0330061,92934.3497866475,6485127.45463683,
2041,26,D,70120.4390826232,148744.58162433,4058432.71328788,0,2122119.70422948,93039.3823965442,6492456.82062085,
2041,30,D,70130.1265936558,148765.131478187,4058993.40731945,0,2122412.88633609,93052.2362813062,6493353.7880087,
2041,55,D,69805.5529311202,148076.622189429,4040207.72389905,0,2112590.01337991,92621.5753570512,6463301.48775656,
2041,57,D,69945.4990196997,148373.486023542,4048307.52748582,0,2116825.33129848,92807.2629799554,6476259.1068075,
2041,70,D,69739.591843668,147936.700727372,4036390.0262545,0,2110593.77198117,92534.0548149803,6457194.14562169,
2041,73,D,69862.2291487737,148196.847909536,4043488.03159249,0,2114305.25817611,92696.7762593279,6468549.14308623,
2041,87,D,69909.8407155932,148297.845032197,4046243.69517417,0,2115746.17105998,92759.9497195882,6472957.50170153,
2042,94,D,54768.6534470238,69663.3810269926,1092761.51401779,0,996936.731191945,26021.543667899,2240151.82335165,
2042,17,D,54651.6544571375,69514.5633238129,1090427.11312823,0,994807.035039329,25965.9554046716,2235366.32135318,
2042,21,D,54720.4578456668,69602.0782866502,1091799.90012018,0,996059.441679592,25998.6450960631,2238180.52302815,
2042,23,D,54673.0530812068,69541.7814569635,1090854.06525073,0,995196.54752483,25976.1222646473,2236241.56957838,
2042,25,D,54718.6699204343,69599.804122345,1091764.22686986,0,996026.896633756,25997.795621563,2238107.39316796,
2042,26,D,54809.5134971246,69715.3532603743,1093576.7666742,0,997680.49395075,26040.9569912337,2241823.08437369,
2042,30,D,54784.427928976,69683.4454922948,1093076.2514761,0,997223.869171134,26029.0383997415,2240797.03246824,
2042,55,D,54783.7387253653,69682.5688548258,1093062.50026745,0,997211.323812583,26028.7109470706,2240768.84260729,
2042,57,D,54771.2214092117,69666.6473648901,1092812.75081241,0,996983.475007398,26022.7637515784,2240256.85834549,
2042,70,D,54747.3374311838,69636.267967971,1092336.21012083,0,996548.722398299,26011.4160565357,2239279.95397482,
2042,73,D,54647.34508233,69509.0819836611,1090341.13111767,0,994728.592832636,25963.9079454467,2235190.05896174,
2042,87,D,54532.9636183736,69363.5936613358,1088058.9559342,0,992646.542688825,25909.5633144979,2230511.61921723,
2043,94,D,69453.1049954561,225771.98902472,7791531.99110309,0,3218992.44718869,169898.108989464,11475647.6413014,
2043,17,D,69369.7393814319,225500.991486227,7782179.69722553,0,3215128.64179199,169694.177715572,11461873.2476007,
2043,21,D,69509.9831730988,225956.883556064,7797912.81656407,0,3221628.62053549,170037.245962892,11485045.5497916,
2043,23,D,69165.026628016,224835.529437835,7759214.18737062,0,3205640.6742327,169193.403708511,11428048.8213777,
2043,25,D,69141.0095770879,224757.456940444,7756519.8568486,0,3204527.53889416,169134.652533363,11424080.5147937,
2043,26,D,69590.2611061997,226217.843935476,7806918.72182887,0,3225349.31898871,170233.624066194,11498309.7699255,
2043,30,D,69302.7865462999,225283.347152549,7774668.65568375,0,3212025.53113017,169530.395835969,11450810.7163487,
2043,55,D,69641.2770183357,226383.681934449,7812641.89448601,0,3227713.78974726,170358.42060338,11506739.0637894,
2043,57,D,69633.2068295868,226357.448081178,7811736.54786665,0,3227339.75497039,170338.679084153,11505405.636832,
2043,70,D,69533.6010862489,226033.658571794,7800562.37018567,0,3222723.25675159,170095.020756153,11488947.9073515,
2043,73,D,69427.1896394817,225687.74568578,7788624.70099493,0,3217791.32975624,169834.714127936,11471365.6802044,
2043,87,D,69552.4398040894,226094.897803615,7802675.77422622,0,3223596.38820406,170141.104549486,11492060.6045875,
2044,94,D,78556.5736135847,114301.646627211,2496764.05094,0,1632767.70911083,57083.1528543601,4379473.13314599,
2044,17,D,77912.4021429112,113364.362114646,2476290.34521895,0,1619378.85661811,56615.0655023614,4343561.03159697,
2044,21,D,77972.3821006933,113451.634352012,2478196.68857735,0,1620625.51662064,56658.6499529143,4346904.87160361,
2044,23,D,77905.622572955,113354.497682253,2476074.87010631,0,1619237.94590374,56610.1391262442,4343183.0753915,
2044,25,D,77880.7515104273,113318.309706256,2475284.39297663,0,1618721.01058034,56592.0665627577,4341796.53133641,
2044,26,D,78143.7454576542,113700.972032759,2483643.13118078,0,1624187.237084,56783.1711769071,4356458.2569321,
2044,30,D,77908.976732232,113359.378062223,2476181.47537076,0,1619307.66079464,56612.5764268787,4343370.06738673,
2044,55,D,78396.1205607756,114068.183693445,2491664.37059895,0,1629432.7550592,56966.5596054679,4370527.98951784,
2044,57,D,78316.3023581626,113952.046347201,2489127.50818595,0,1627773.76488396,56908.5596896017,4366078.18146487,
2044,70,D,78537.7172850637,114274.210229465,2496164.74013737,0,1632375.78768523,57069.4508987665,4378421.90623589,
2044,73,D,78527.8570892176,114259.863414559,2495851.35347358,0,1632170.84736461,57062.2859851156,4377872.20732708,
2044,87,D,78512.2746682646,114237.190628674,2495356.09729485,0,1631846.97282946,57050.963015233,4377003.49843648,
2045,94,D,61371.3388339348,246662.219224919,6255125.84551283,0,3516680.23297457,140874.656789053,10220714.2933353,
2045,17,D,61241.7994408725,246141.577590291,6241922.8549809,0,3509257.40936294,140577.305975383,10199140.9473504,
2045,21,D,61277.3506838031,246284.464296758,6245546.32976115,0,3511294.55496946,140658.911969996,10205061.6116812,
2045,23,D,61319.0418076484,246452.02826595,6249795.5971105,0,3513683.52600876,140754.611735952,10212004.8049288,
2045,25,D,61282.1438794972,246303.728994409,6246034.86468378,0,3511569.21308953,140669.914496764,10205859.865144,
2045,26,D,61059.6270975712,245409.394859168,6223355.37780715,0,3498818.62978188,140159.139012976,10168802.1685587,
2045,30,D,61172.8087543733,245864.291870913,6234891.14548229,0,3505304.127781,140418.941509707,10187651.3153983,
2045,55,D,61205.3479171065,245995.072496592,6238207.62124558,0,3507168.67616068,140493.63343381,10193070.3512538,
2045,57,D,61151.4471122457,245778.435669083,6232713.91157614,0,3504080.07000352,140369.906991961,10184093.7713529,
2045,70,D,61321.313452089,246461.158405029,6250027.12899693,0,3513813.69502988,140759.826175412,10212383.1220593,
2045,73,D,61475.3495506994,247080.256613507,6265726.88722067,0,3522640.22078995,141113.407878813,10238036.1220536,
2045,87,D,61569.5488967831,247458.860375394,6275327.92861089,0,3528038.0006759,141329.637486988,10253723.976046,
2046,94,D,90410.4186468574,255558.400528526,9071887.69173147,0,3643341.31480636,199714.793821143,13260912.6195344,
2046,17,D,90672.3067730259,256298.665993975,9098165.85418174,0,3653894.83114007,200293.299417121,13299324.9575059,
2046,21,D,90812.937765812,256696.180264112,9112276.93332092,0,3659561.95129976,200603.950447716,13319951.9530983,
2046,23,D,90526.5974898333,255886.79718602,9083545.21341323,0,3648023.06702979,199971.430545301,13277953.1056642,
2046,25,D,90331.1601956146,255334.364810839,9063934.8055591,0,3640147.37328633,199539.713498704,13249287.4173506,
2046,26,D,90577.8871560423,256031.775002251,9088691.67881576,0,3650089.92793718,200084.728384924,13285475.9972961,
2046,30,D,90406.1692468767,255546.38897191,9071461.30194189,0,3643170.07331955,199705.406982173,13260289.3404624,
2046,55,D,90600.6340286855,256096.072397139,9090974.12675756,0,3651006.5769487,200134.975768444,13288812.3859005,
2046,57,D,90639.1592840415,256204.969720989,9094839.7961695,0,3652559.06013153,200220.077281583,13294463.0625876,
