"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"1008","B3","NYISO","Upper",22536490572.7258
"1008","B3","NB","Lower",738776173.878183
"1008","B3","NB","Upper",2200064825.14819
"1008","C1","QC","Lower",4920904947.23122
"1008","C1","QC","Upper",14654384189.8267
"1008","C1","NYISO","Lower",4603333329.05538
"1008","C1","NYISO","Upper",13832131397.402
"1008","C1","NB","Lower",738776173.878183
"1008","C1","NB","Upper",2200064825.14819
"1008","C2","QC","Lower",4920904947.23122
"1008","C2","QC","Upper",14654384189.8267
"1008","C2","NYISO","Lower",7500144062.60316
"1008","C2","NYISO","Upper",22536490572.7258
"1008","C2","NB","Lower",738776173.878183
"1008","C2","NB","Upper",2200064825.14819
"1008","C3","QC","Lower",26321597242.6756
"1008","C3","QC","Upper",78385338188.88
"1008","C3","NYISO","Lower",7500144062.60316
"1008","C3","NYISO","Upper",22536490572.7258
"1008","C3","NB","Lower",738776173.878183
"1008","C3","NB","Upper",2200064825.14819
"1008","D","QC","Lower",26321597242.6756
"1008","D","QC","Upper",78385338188.88
"1008","D","NYISO","Lower",7500144062.60316
"1008","D","NYISO","Upper",22536490572.7258
"1008","D","NB","Lower",738776173.878183
"1008","D","NB","Upper",2200064825.14819
"1009","A","QC","Lower",4871345126.70941
"1009","A","QC","Upper",14506795756.7857
"1009","A","NYISO","Lower",4939937256.35844
"1009","A","NYISO","Upper",14843561467.4232
"1009","A","NB","Lower",733821029.051512
"1009","A","NB","Upper",2185308475.08963
"1009","B1","QC","Lower",26212073234.8987
"1009","B1","QC","Upper",78059177268.2398
"1009","B1","NYISO","Lower",8049732560.76358
"1009","B1","NYISO","Upper",24187898319.6021
"1009","B1","NB","Lower",733821029.051512
"1009","B1","NB","Upper",2185308475.08963
"1009","B2","QC","Lower",4871345126.70941
"1009","B2","QC","Upper",14506795756.7857
"1009","B2","NYISO","Lower",8049732560.76358
"1009","B2","NYISO","Upper",24187898319.6021
"1009","B2","NB","Lower",733821029.051512
"1009","B2","NB","Upper",2185308475.08963
"1009","B3","QC","Lower",35394539480.378
"1009","B3","QC","Upper",105404429739.959
"1009","B3","NYISO","Lower",8049732560.76358
"1009","B3","NYISO","Upper",24187898319.6021
"1009","B3","NB","Lower",733821029.051512
"1009","B3","NB","Upper",2185308475.08963
"1009","C1","QC","Lower",4871345126.70941
"1009","C1","QC","Upper",14506795756.7857
"1009","C1","NYISO","Lower",4939937256.35844
"1009","C1","NYISO","Upper",14843561467.4232
"1009","C1","NB","Lower",733821029.051512
"1009","C1","NB","Upper",2185308475.08963
"1009","C2","QC","Lower",4871345126.70941
"1009","C2","QC","Upper",14506795756.7857
"1009","C2","NYISO","Lower",8049732560.76358
"1009","C2","NYISO","Upper",24187898319.6021
