"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"D","FOM","Onshore Wind","Conservative",3165508425.2472
"D","CAPEX","Offshore Wind","Advanced",3637668908.99092
"D","CAPEX","Offshore Wind","Moderate",4527254101.53539
"D","CAPEX","Offshore Wind","Conservative",5872974201.23574
"D","FOM","Offshore Wind","Advanced",2166326015.87916
"D","FOM","Offshore Wind","Moderate",2355178745.54479
"D","FOM","Offshore Wind","Conservative",2672146393.71399
"D","CAPEX","Storage","Advanced",21162369749.1275
"D","CAPEX","Storage","Moderate",27322517390.069
"D","CAPEX","Storage","Conservative",37882957172.047
"D","FOM","Storage","Advanced",9008954355.11149
"D","FOM","Storage","Moderate",11901672560.6574
"D","FOM","Storage","Conservative",17014724069.6142
"D","CAPEX","Nuclear","Advanced",0
"D","CAPEX","Nuclear","Moderate",0
"D","CAPEX","Nuclear","Conservative",0
"D","FOM","Nuclear","Advanced",6503537935.08848
"D","FOM","Nuclear","Moderate",9032691576.51178
"D","FOM","Nuclear","Conservative",10529537609.1909
"D","CAPEX","SMR","Advanced",0
"D","CAPEX","SMR","Moderate",0
"D","CAPEX","SMR","Conservative",0
"D","FOM","SMR","Advanced",0
"D","FOM","SMR","Moderate",0
"D","FOM","SMR","Conservative",0
"D","CAPEX","Hydropower","Advanced",0
"D","CAPEX","Hydropower","Moderate",0
"D","CAPEX","Hydropower","Conservative",0
"D","FOM","Hydropower","Advanced",1573026717.34992
"D","FOM","Hydropower","Moderate",2806884488.29927
"D","FOM","Hydropower","Conservative",2806884488.29927
"D","CAPEX","Biomass","Advanced",0
"D","CAPEX","Biomass","Moderate",0
"D","CAPEX","Biomass","Conservative",0
"D","FOM","Biomass","Advanced",1317251936.34316
"D","FOM","Biomass","Moderate",1317251936.34316
"D","FOM","Biomass","Conservative",1317251936.34316
